system_id,resource,amount,unit_price
0,uranium,44,254.02
1,uranium,44,254.02
2,iron,854,22.67
2,uranium,44,254.02
3,uranium,44,254.02
4,uranium,44,254.02
5,iron,868,22.28
6,uranium,44,254.02
7,iron,869,22.23
8,uranium,45,248.5
8,iron,813,23.82
9,iron,861,22.51
9,zinc,2768,21.02
10,zinc,2941,19.74
11,uranium,45,248.5
12,uranium,45,248.5
13,iron,869,22.26
14,uranium,45,248.5
